date,ticker,price
2024-01-01,AAPL,151.2949086637801
2024-01-02,AAPL,152.40635781631602
2024-01-03,AAPL,153.98347655957122
2024-01-04,AAPL,152.27039655719824
2024-01-05,AAPL,150.04941089395803
2024-01-06,AAPL,151.83449844967896
2024-01-07,AAPL,153.27251773978108
2024-01-08,AAPL,155.4805342912797
2024-01-09,AAPL,154.90699371593936
2024-01-10,AAPL,153.89427104957045
2024-01-11,AAPL,155.09411378265781
2024-01-12,AAPL,155.44125249831114
2024-01-13,AAPL,154.18761814369645
2024-01-14,AAPL,153.74201014570212
2024-01-15,AAPL,155.67479497181225
2024-01-16,AAPL,156.05805277897815
2024-01-17,AAPL,156.5128628231942
2024-01-18,AAPL,157.2166750381096
2024-01-19,AAPL,158.29591103691766
2024-01-20,AAPL,159.09919082207188
