date,ticker,price
2024-01-01,AAPL,149.27224426289735
2024-01-02,AAPL,149.5003452167524
2024-01-03,AAPL,147.33974502419846
2024-01-04,AAPL,148.6528839029019
2024-01-05,AAPL,150.3590943652482
2024-01-06,AAPL,149.14842753111407
2024-01-07,AAPL,148.02123091221546
2024-01-08,AAPL,147.22203944455993
2024-01-09,AAPL,148.63592988805576
2024-01-10,AAPL,149.05533170113148
2024-01-11,AAPL,150.00809539216579
2024-01-12,AAPL,149.76315892874163
2024-01-13,AAPL,151.24409863290234
2024-01-14,AAPL,152.02488920743326
2024-01-15,AAPL,151.8935454823371
2024-01-16,AAPL,149.49720949377127
2024-01-17,AAPL,150.70209939502084
2024-01-18,AAPL,151.8416295797115
2024-01-19,AAPL,150.4513750756776
2024-01-20,AAPL,149.39145586647007
